best,mean
58,88.96
58,90.92
58,88.92
58,90.88
58,88.88
58,88.64
58,89.08
58,87.76
58,88.56
58,89.92
58,92.92
58,91.76
58,90.88
58,91.0
58,92.36
58,87.32
58,91.48
58,88.36
58,86.16
58,86.32
58,89.76
58,88.36
58,89.44
58,86.16
58,89.04
58,85.28
58,88.16
58,86.28
58,89.84
58,85.76
58,88.0
58,87.24
58,88.2
58,85.28
58,88.24
58,88.56
58,86.68
58,85.12
58,86.56
58,89.56
58,85.72
58,86.56
58,88.16
58,89.0
58,86.28
58,89.52
58,88.96
58,87.76
58,90.2
58,91.48
58,85.16
58,88.24
58,89.28
58,87.12
58,88.36
58,89.4
58,86.72
58,89.0
58,85.04
58,88.68
58,84.92
58,89.12
58,88.28
58,86.12
58,87.96
58,88.16
58,88.08
58,86.32
58,86.64
58,83.64
58,86.36
58,88.92
58,87.08
58,87.0
58,87.08
58,84.96
58,86.8
58,87.16
58,89.2
58,89.0
58,87.76
58,87.4
58,88.0
58,85.76
58,83.08
58,86.36
58,85.04
58,86.96
58,85.68
58,83.08
58,87.08
58,84.88
58,85.16
58,86.2
58,85.0
58,85.56
58,86.52
58,85.96
58,87.96
58,86.88
58,86.04
58,85.32
58,86.32
58,86.88
58,87.48
58,84.8
58,89.04
58,85.52
58,87.0
58,87.44
58,85.8
58,84.72
58,84.64
58,84.48
58,87.4
58,87.48
58,85.84
58,86.8
58,85.0
58,84.4
58,84.52
58,87.48
58,84.68
58,84.08
58,85.56
58,84.2
58,84.68
58,87.12
58,83.96
58,83.56
58,84.28
58,86.36
58,84.36
58,87.32
58,84.6
58,84.28
58,83.52
58,86.4
58,85.24
58,85.2
58,86.08
58,86.24
58,83.92
58,85.88
58,85.96
58,85.32
58,85.92
58,85.12
58,85.76
58,83.8
58,87.0
58,83.4
58,81.48
58,86.36
58,85.0
58,83.36
58,84.96
58,85.56
58,86.64
58,83.2
58,82.48
58,83.36
58,83.44
58,85.32
58,85.16
58,84.36
58,85.12
58,84.48
58,82.72
58,82.4
58,82.04
58,84.84
58,83.2
58,83.84
58,83.52
58,84.28
58,82.64
58,83.12
58,83.96
58,81.92
58,84.12
58,84.96
58,83.84
58,83.36
58,84.68
58,83.52
58,83.72
58,81.08
58,84.12
58,82.28
58,83.92
58,84.84
58,83.64
58,82.8
58,83.4
58,82.16
56,83.52
56,81.84
56,82.04
56,81.32
56,84.0
56,81.12
56,82.04
56,86.36
56,84.44
0,79.36
0,79.8
0,78.44
0,79.8
0,80.08
0,79.8
0,82.56
0,81.56
0,82.0
0,78.28
0,81.6
0,81.48
0,80.76
0,80.8
0,80.04
0,80.08
0,81.24
0,83.0
0,81.8
0,80.56
0,83.0
0,80.12
0,78.8
0,78.52
0,81.44
0,81.0
0,82.72
0,81.0
0,83.12
0,81.6
0,84.16
0,77.76
0,79.72
0,79.0
0,79.72
0,83.08
0,82.64
0,79.36
0,82.04
0,81.64
0,82.76
0,83.36
0,81.68
0,81.32
0,79.52
0,82.72
0,81.24
0,82.2
0,81.68
0,81.48
0,80.36
0,80.64
0,79.8
0,80.4
0,80.2
0,82.48
0,82.52
0,81.68
0,80.4
0,79.32
0,79.72
0,82.96
0,83.4
0,82.64
0,79.76
0,81.68
0,79.52
0,81.56
0,80.84
0,79.08
0,83.04
0,81.2
0,77.8
0,82.12
0,81.16
0,78.24
0,80.44
0,79.36
0,81.24
0,81.04
0,79.32
0,80.8
0,80.28
0,80.36
0,81.6
0,81.92
0,79.16
0,80.56
0,79.04
0,79.0
0,79.52
0,79.32
0,81.16
0,78.44
0,79.68
0,77.0
0,79.4
0,78.32
0,79.68
0,79.4
0,81.56
0,78.04
0,80.12
0,78.28
0,79.28
0,79.2
0,77.32
0,80.68
0,77.28
0,77.52
0,76.0
0,78.32
0,80.44
0,80.68
0,78.28
0,80.44
0,77.92
0,80.52
0,75.92
0,75.52
0,79.8
0,77.44
0,79.08
0,79.84
0,78.08
0,79.36
0,78.72
0,79.92
0,80.2
0,79.68
0,79.32
0,78.76
0,78.08
0,79.68
0,78.04
0,79.92
0,78.36
0,78.76
0,77.64
0,79.72
0,78.84
0,78.32
0,76.2
0,81.0
0,77.92
0,77.32
0,79.68
0,79.0
0,76.84
0,78.08
0,79.32
0,76.44
0,76.96
0,78.0
0,78.68
0,75.44
0,76.4
0,76.24
0,75.44
0,77.16
0,75.48
0,76.0
0,76.64
0,76.96
0,76.32
0,72.72
0,72.04
0,70.72
0,70.88
0,66.2
0,63.2
0,60.2
0,59.0
0,56.04
0,58.12
0,52.72
0,50.28
0,53.04
0,52.36
0,53.24
0,51.92
0,54.0
0,51.6
0,50.32
0,51.28
0,50.36
0,52.28
0,53.84
0,54.16
0,53.64
0,51.44
0,54.76
0,50.44
0,51.36
0,48.32
0,53.48
0,53.0
0,50.8
0,53.76
0,51.24
0,52.32
0,51.68
0,53.08
0,50.96
0,52.12
0,52.84
0,52.36
0,52.24
0,51.44
0,53.2
0,50.64
0,49.64
0,51.56
0,50.72
0,50.36
0,52.6
0,51.0
0,49.8
0,53.04
0,52.24
0,52.52
0,51.4
0,52.64
0,53.68
0,49.48
0,53.2
0,49.52
0,52.56
0,55.64
0,52.4
0,51.88
0,51.36
0,52.0
0,51.88
0,55.32
0,53.44
0,52.44
0,51.64
0,50.52
0,50.52
0,53.64
0,55.32
0,50.04
0,51.44
0,51.92
0,52.8
0,54.68
0,52.48
0,48.84
0,55.28
0,51.6
0,52.96
0,50.92
0,51.28
0,48.28
0,51.2
0,53.04
0,53.12
0,54.68
0,51.4
0,50.84
0,53.52
0,51.56
0,52.24
0,50.64
0,52.68
0,49.08
0,50.4
0,52.0
0,52.88
0,50.96
0,49.16
0,53.24
0,52.48
0,53.56
0,55.16
0,51.04
0,54.88
0,52.84
0,52.68
0,51.24
0,54.04
0,52.32
0,53.24
0,53.04
0,49.24
0,50.76
0,53.76
0,55.48
0,51.84
0,52.24
0,54.88
0,53.32
0,53.24
0,52.08
0,51.08
0,50.6
0,51.48
0,51.48
0,52.96
0,52.68
0,53.96
0,52.68
0,50.8
0,53.4
0,52.28
0,52.64
0,51.44
0,55.0
0,50.08
0,49.64
0,49.68
0,49.68
0,51.52
0,54.56
0,51.24
0,51.16
0,53.28
0,51.72
0,53.16
0,53.2
0,51.72
0,52.84
0,51.36
0,50.44
0,53.24
0,53.4
0,52.4
0,50.36
0,50.24
0,50.28
0,51.8
0,49.64
0,55.88
0,51.76
0,50.24
0,53.04
0,49.6
0,52.24
0,51.84
0,54.4
0,52.48
0,51.2
0,52.72
0,52.56
0,51.8
0,52.32
0,51.44
0,51.16
0,52.92
0,53.08
0,52.12
0,51.84
0,50.88
0,52.8
0,51.28
0,50.24
0,51.96
0,52.72
0,51.44
0,52.4
0,52.16
0,50.08
0,52.0
0,50.88
0,51.16
0,52.68
0,53.76
0,52.2
0,53.16
0,51.48
0,52.92
0,51.44
0,50.96
0,50.92
0,49.64
0,53.76
0,54.92
0,50.76
0,53.24
0,56.32
0,51.16
0,53.16
0,54.04
0,51.08
0,53.68
0,50.76
0,52.32
0,49.92
0,52.64
0,52.32
0,51.0
0,48.96
0,53.84
0,54.2
0,52.84
0,52.32
0,53.56
0,51.8
0,52.4
0,53.4
0,53.44
0,51.32
0,49.4
0,50.76
0,51.0
0,53.68
0,51.84
0,51.76
0,52.36
0,53.04
0,52.36
0,54.6
0,52.4
0,49.92
0,53.44
0,52.64
0,50.88
0,50.92
0,52.88
0,53.88
0,54.24
0,49.92
0,51.8
0,53.08
0,51.8
0,49.24
0,53.04
0,50.84
0,52.52
0,53.28
0,48.88
0,51.52
0,53.84
0,52.36
0,51.36
0,54.76
0,52.2
0,52.2
0,51.52
0,51.0
0,51.68
0,55.8
0,52.84
0,50.88
0,50.84
0,54.88
0,54.04
0,53.68
0,53.2
0,50.88
0,50.08
0,52.16
0,51.52
0,53.36
